pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t5_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t5_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass,t5_exit_mass
p1,realistic-engaged,comp-hoarder,completion,0,engagement-profile,320880.13,15300.00,5,N,,,13902293774.28,0.00,700.00,13687.52,226779.80,319988.13,0.00,3600.00,7200.00,3600.00,900.00,1.0062e+0,1.4180e+5,2.2083e+7,1.8025e+11,
p1,realistic-engaged,comp-hoarder,completion,1,engagement-profile,158283.16,12600.00,5,N,,,31639501495.13,0.00,700.00,39515.51,101187.03,157391.16,0.00,3600.00,4500.00,3600.00,900.00,1.0062e+0,5.0434e+5,8.4564e+7,2.4223e+11,
p1,realistic-engaged,comp-hoarder,completion,2,engagement-profile,246540.53,14400.00,5,N,,,23755476769.91,0.00,700.00,11370.89,147732.99,245645.53,0.00,3600.00,6300.00,3600.00,900.00,1.0062e+0,1.0928e+5,5.5025e+7,3.6520e+11,
p1,realistic-engaged,comp-hoarder,completion,3,engagement-profile,311308.98,12600.00,5,N,,,22847319838.71,0.00,700.00,26218.78,125744.80,310410.98,0.00,3600.00,3600.00,4500.00,900.00,1.0062e+0,3.1770e+5,5.7450e+7,2.6131e+11,
p1,realistic-engaged,comp-hoarder,completion,4,engagement-profile,288730.85,11700.00,5,N,,,18876472115.34,0.00,700.00,16881.31,178518.49,287834.85,0.00,3600.00,4500.00,2700.00,900.00,1.0062e+0,1.8664e+5,2.3863e+8,9.0802e+10,
p1,realistic-engaged,comp-hoarder,completion,5,engagement-profile,217558.99,10800.00,5,N,,,44709009141.72,0.00,700.00,22261.71,158058.10,216663.99,0.00,3600.00,2700.00,3600.00,900.00,1.0062e+0,2.6215e+5,1.6915e+8,5.7458e+11,
p1,realistic-engaged,comp-hoarder,completion,6,engagement-profile,267723.32,9000.00,5,N,,,51401927601.34,0.00,700.00,10202.24,213900.44,266831.32,0.00,3600.00,2700.00,1800.00,900.00,1.0062e+0,9.2884e+4,1.6318e+9,1.7290e+11,
p1,realistic-engaged,comp-hoarder,completion,7,engagement-profile,195452.86,12600.00,5,N,,,14591215256.62,0.00,700.00,6791.07,99786.98,194560.86,0.00,3600.00,5400.00,2700.00,900.00,1.0062e+0,4.5005e+4,5.2750e+7,3.3885e+11,
p1,realistic-engaged,comp-hoarder,completion,8,engagement-profile,256622.52,8100.00,5,N,,,264591079836.37,0.00,700.00,110426.72,172412.97,255730.52,0.00,3600.00,1800.00,1800.00,900.00,1.0062e+0,1.4997e+6,2.2173e+7,2.3652e+11,
p1,realistic-engaged,comp-hoarder,completion,9,engagement-profile,241958.46,12600.00,5,N,,,79670035137.12,0.00,700.00,15604.78,148052.59,241061.46,0.00,3600.00,6300.00,1800.00,900.00,1.0062e+0,1.6871e+5,2.3853e+9,5.6596e+10,
p1,realistic-engaged,comp-hoarder,completion,10,engagement-profile,192614.49,14400.00,5,N,,,19436256001.45,0.00,700.00,19243.09,129873.21,191719.49,0.00,3600.00,4500.00,5400.00,900.00,1.0062e+0,2.1979e+5,4.2992e+7,8.8085e+10,
p1,realistic-engaged,comp-hoarder,completion,11,engagement-profile,204909.15,13500.00,5,N,,,18892815823.38,0.00,700.00,7668.29,121379.87,204017.15,0.00,3600.00,4500.00,4500.00,900.00,1.0062e+0,5.7315e+4,5.4691e+7,5.6440e+11,
p1,realistic-engaged,comp-hoarder,completion,12,engagement-profile,131617.13,14400.00,5,N,,,102957363634.53,0.00,700.00,12804.95,71156.29,131562.13,0.00,3600.00,6300.00,3600.00,900.00,1.0062e+0,1.2941e+5,2.5700e+7,9.8919e+10,
p1,realistic-engaged,comp-hoarder,completion,13,engagement-profile,258149.23,14400.00,5,N,,,7199495542.46,0.00,700.00,16841.53,145478.95,257253.23,0.00,3600.00,6300.00,3600.00,900.00,1.0062e+0,1.8607e+5,3.5298e+7,1.0303e+12,
p1,realistic-engaged,comp-hoarder,completion,14,engagement-profile,180373.22,11700.00,5,N,,,533811921603.19,0.00,700.00,28836.80,87056.80,180329.22,0.00,3600.00,4500.00,2700.00,900.00,1.0062e+0,3.5444e+5,6.6656e+7,5.0018e+10,
p1,realistic-engaged,comp-hoarder,completion,15,engagement-profile,179702.34,11700.00,5,N,,,533738279962.75,0.00,700.00,70514.57,123610.28,179000.34,0.00,3600.00,4500.00,2700.00,900.00,1.0062e+0,9.3947e+5,1.3283e+8,1.0730e+11,
p1,realistic-engaged,comp-hoarder,completion,16,engagement-profile,152923.16,12600.00,5,N,,,476189041362.67,0.00,700.00,6532.97,96652.46,152031.16,0.00,3600.00,6300.00,1800.00,900.00,1.0062e+0,4.1369e+4,9.2498e+8,2.6528e+11,
p1,realistic-engaged,comp-hoarder,completion,17,engagement-profile,180786.55,11700.00,5,N,,,2015526893217.24,0.00,700.00,33599.44,117111.77,180101.55,0.00,3600.00,3600.00,3600.00,900.00,1.0062e+0,4.2130e+5,6.3231e+7,1.7830e+10,
p1,realistic-engaged,comp-hoarder,completion,18,engagement-profile,186661.86,10800.00,5,N,,,3124025663149.68,0.00,700.00,12825.27,131711.39,185915.86,0.00,3600.00,3600.00,2700.00,900.00,1.0062e+0,1.2970e+5,4.1551e+8,1.0004e+11,
p1,realistic-engaged,comp-hoarder,completion,19,engagement-profile,245032.90,13500.00,5,N,,,21801698023.92,0.00,700.00,33527.24,125480.20,244138.90,0.00,3600.00,4500.00,4500.00,900.00,1.0062e+0,4.2029e+5,3.7677e+7,4.3096e+11,
