pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t5_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t5_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass,t5_exit_mass
p3,realistic-engaged,thr-hoarder,threshold,0,engagement-profile,347900.93,16200.00,5,N,,,244710254.03,0.00,781.00,13682.52,187987.96,347002.93,0.00,3600.00,4500.00,7200.00,900.00,9.6121e-1,1.0133e+5,2.5745e+6,3.4965e+10,
p3,realistic-engaged,thr-hoarder,threshold,1,engagement-profile,225387.00,16200.00,5,N,,,506184637.21,0.00,781.00,39510.51,105787.01,224489.00,0.00,3600.00,5400.00,6300.00,900.00,9.6121e-1,3.6002e+5,8.2744e+6,4.2915e+10,
p3,realistic-engaged,thr-hoarder,threshold,2,engagement-profile,290554.49,16200.00,5,N,,,339005647.55,0.00,781.00,11365.89,101237.27,289656.49,0.00,3600.00,4500.00,7200.00,900.00,9.6121e-1,7.8128e+4,2.5931e+6,4.3315e+10,
p3,realistic-engaged,thr-hoarder,threshold,3,engagement-profile,372728.91,14400.00,5,N,,,11836592501.28,0.00,781.00,26213.78,125738.80,371830.91,0.00,3600.00,3600.00,6300.00,900.00,9.6121e-1,2.2684e+5,3.1091e+6,5.8815e+10,
p3,realistic-engaged,thr-hoarder,threshold,4,engagement-profile,376255.65,12600.00,5,N,,,68953948124.55,0.00,781.00,16876.31,154220.53,375357.65,0.00,3600.00,3600.00,4500.00,900.00,9.6121e-1,1.3332e+5,1.8186e+7,1.1563e+11,
p3,realistic-engaged,thr-hoarder,threshold,5,engagement-profile,296774.41,16200.00,5,N,,,19048157744.83,0.00,781.00,22256.71,158052.10,295876.41,0.00,3600.00,2700.00,9000.00,900.00,9.6121e-1,1.8721e+5,6.9226e+6,6.5963e+10,
p3,realistic-engaged,thr-hoarder,threshold,6,engagement-profile,355785.23,12600.00,5,N,,,8005518861.13,0.00,781.00,10197.24,152854.08,354887.23,0.00,3600.00,1800.00,6300.00,900.00,9.6121e-1,6.6430e+4,4.5437e+6,5.4968e+10,
p3,realistic-engaged,thr-hoarder,threshold,7,engagement-profile,266164.03,17100.00,5,N,,,11305127440.17,0.00,781.00,6786.07,99785.98,265266.03,0.00,3600.00,5400.00,7200.00,900.00,9.6121e-1,3.2267e+4,4.4805e+6,5.7627e+10,
p3,realistic-engaged,thr-hoarder,threshold,8,engagement-profile,390962.34,9900.00,5,N,,,382686755.31,0.00,781.00,110421.72,177543.51,390064.34,0.00,3600.00,2700.00,2700.00,900.00,9.6121e-1,1.0702e+6,5.3314e+6,3.9309e+10,
p3,realistic-engaged,thr-hoarder,threshold,9,engagement-profile,320670.52,16200.00,5,N,,,371434185.54,0.00,781.00,15599.78,96265.41,319772.52,0.00,3600.00,5400.00,6300.00,900.00,9.6121e-1,1.2053e+5,3.6246e+6,4.4593e+10,
