pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t5_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t5_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass,t5_exit_mass
p3,realistic-engaged,thr-hoarder,threshold,0,engagement-profile,208335.88,10800.00,5,N,,,15369901755.53,0.00,781.00,13682.52,187987.96,207437.88,0.00,3600.00,4500.00,1800.00,900.00,9.6121e-1,1.0133e+5,2.5745e+6,4.2289e+10,
p3,realistic-engaged,thr-hoarder,threshold,1,engagement-profile,116019.22,10800.00,5,N,,,19423143515.51,0.00,781.00,39510.51,105787.01,115121.22,0.00,3600.00,5400.00,900.00,900.00,9.6121e-1,3.6002e+5,8.2744e+6,4.5319e+10,
p3,realistic-engaged,thr-hoarder,threshold,2,engagement-profile,148630.99,10800.00,5,N,,,26900838343.36,0.00,781.00,11365.89,101237.27,147732.99,0.00,3600.00,4500.00,1800.00,900.00,9.6121e-1,7.8128e+4,2.5931e+6,5.3819e+10,
p3,realistic-engaged,thr-hoarder,threshold,3,engagement-profile,159625.02,9000.00,5,N,,,312299224.47,0.00,781.00,26213.78,125738.80,158732.02,0.00,3600.00,3600.00,900.00,900.00,9.6121e-1,2.2684e+5,3.1091e+6,2.5955e+10,
p3,realistic-engaged,thr-hoarder,threshold,4,engagement-profile,179416.49,9000.00,5,N,,,44362801431.55,0.00,781.00,16876.31,154220.53,178519.49,0.00,3600.00,3600.00,900.00,900.00,9.6121e-1,1.3332e+5,1.8186e+7,7.1417e+10,
p3,realistic-engaged,thr-hoarder,threshold,5,engagement-profile,170499.90,8100.00,5,N,,,28030316544.34,0.00,781.00,22256.71,158052.10,169601.90,0.00,3600.00,2700.00,900.00,900.00,9.6121e-1,1.8721e+5,6.9226e+6,5.4966e+10,
p3,realistic-engaged,thr-hoarder,threshold,6,engagement-profile,214797.44,7200.00,5,N,,,261218680307.10,0.00,781.00,10197.24,152854.08,213899.44,0.00,3600.00,1800.00,900.00,900.00,9.6121e-1,6.6430e+4,4.5437e+6,2.8818e+11,
p3,realistic-engaged,thr-hoarder,threshold,7,engagement-profile,124078.58,10800.00,5,N,,,82287201939.91,0.00,781.00,6786.07,99785.98,123180.58,0.00,3600.00,5400.00,900.00,900.00,9.6121e-1,3.2267e+4,4.4805e+6,1.0911e+11,
p3,realistic-engaged,thr-hoarder,threshold,8,engagement-profile,256622.52,8100.00,5,N,,,364945646819.83,0.00,781.00,110421.72,177543.51,255724.52,0.00,3600.00,2700.00,900.00,900.00,9.6121e-1,1.0702e+6,5.3314e+6,3.9157e+11,
p3,realistic-engaged,thr-hoarder,threshold,9,engagement-profile,148949.59,10800.00,5,N,,,177480522356.27,0.00,781.00,15599.78,96265.41,148051.59,0.00,3600.00,5400.00,900.00,900.00,9.6121e-1,1.2053e+5,3.6246e+6,2.0444e+11,
p3,realistic-engaged,thr-hoarder,threshold,10,engagement-profile,139700.62,9900.00,5,N,,,5891010968.16,0.00,781.00,19238.09,129871.21,138802.62,0.00,3600.00,4500.00,900.00,900.00,9.6121e-1,1.5698e+5,3.7573e+6,3.2859e+10,
