pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t5_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t5_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass,t5_exit_mass
p1,realistic-engaged,comp-hoarder,completion,0,engagement-profile,347900.93,16200.00,5,N,,,19751915418.64,0.00,700.00,13687.52,226779.80,347002.93,0.00,3600.00,7200.00,4500.00,900.00,1.0062e+0,1.4180e+5,2.2083e+7,5.7464e+11,
p1,realistic-engaged,comp-hoarder,completion,1,engagement-profile,225387.00,16200.00,5,N,,,28673178395.86,0.00,700.00,39515.51,101187.03,224490.00,0.00,3600.00,4500.00,7200.00,900.00,1.0062e+0,5.0434e+5,8.4564e+7,3.6000e+11,
p1,realistic-engaged,comp-hoarder,completion,2,engagement-profile,246540.53,14400.00,5,N,,,526629489979.91,0.00,700.00,11370.89,147732.99,245645.53,0.00,3600.00,6300.00,3600.00,900.00,1.0062e+0,1.0928e+5,5.5025e+7,1.6262e+12,
p1,realistic-engaged,comp-hoarder,completion,3,engagement-profile,372728.91,14400.00,5,N,,,1688420225594.45,0.00,700.00,26218.78,125744.80,371830.91,0.00,3600.00,3600.00,6300.00,900.00,1.0062e+0,3.1770e+5,5.7450e+7,3.1024e+12,
p1,realistic-engaged,comp-hoarder,completion,4,engagement-profile,376255.65,12600.00,5,N,,,16887485636.04,0.00,700.00,16881.31,178518.49,375359.65,0.00,3600.00,4500.00,3600.00,900.00,1.0062e+0,1.8664e+5,2.3863e+8,2.1973e+11,
p1,realistic-engaged,comp-hoarder,completion,5,engagement-profile,225219.16,11700.00,5,N,,,4404846050640.45,0.00,700.00,22261.71,158058.10,224321.16,0.00,3600.00,2700.00,4500.00,900.00,1.0062e+0,2.6215e+5,1.6915e+8,3.3491e+12,
p1,realistic-engaged,comp-hoarder,completion,6,engagement-profile,291030.57,9900.00,5,N,,,111966233106.07,0.00,700.00,10202.24,213900.44,290132.57,0.00,3600.00,2700.00,2700.00,900.00,1.0062e+0,9.2884e+4,1.6318e+9,4.4220e+11,
p1,realistic-engaged,comp-hoarder,completion,7,engagement-profile,195452.86,12600.00,5,N,,,21862734822.91,0.00,700.00,6791.07,99786.98,194560.86,0.00,3600.00,5400.00,2700.00,900.00,1.0062e+0,4.5005e+4,5.2750e+7,3.3885e+11,
p1,realistic-engaged,comp-hoarder,completion,8,engagement-profile,256622.52,8100.00,5,N,,,157533817336.37,0.00,700.00,110426.72,172412.97,255730.52,0.00,3600.00,1800.00,1800.00,900.00,1.0062e+0,1.4997e+6,2.2173e+7,2.3652e+11,
p1,realistic-engaged,comp-hoarder,completion,9,engagement-profile,299048.57,15300.00,5,N,,,147373116711.74,0.00,700.00,15604.78,148052.59,298151.57,0.00,3600.00,6300.00,4500.00,900.00,1.0062e+0,1.6871e+5,2.3853e+9,1.9550e+11,
p1,realistic-engaged,comp-hoarder,completion,10,engagement-profile,204895.65,15300.00,5,N,,,14159557548.66,0.00,700.00,19243.09,129873.21,204000.65,0.00,3600.00,4500.00,6300.00,900.00,1.0062e+0,2.1979e+5,4.2992e+7,5.7902e+11,
p1,realistic-engaged,comp-hoarder,completion,11,engagement-profile,204909.15,13500.00,5,N,,,17769773127.39,0.00,700.00,7668.29,121379.87,204017.15,0.00,3600.00,4500.00,4500.00,900.00,1.0062e+0,5.7315e+4,5.4691e+7,5.6440e+11,
p1,realistic-engaged,comp-hoarder,completion,12,engagement-profile,171320.75,15300.00,5,N,,,11005736016.94,0.00,700.00,12804.95,71156.29,170426.75,0.00,3600.00,6300.00,4500.00,900.00,1.0062e+0,1.2941e+5,2.5700e+7,2.4884e+11,
