pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t5_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t5_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass,t5_exit_mass
p3,realistic-engaged,thr-hoarder,threshold,0,engagement-profile,263135.86,14400.00,5,N,,,13152330771.01,0.00,781.00,13682.52,187987.96,262237.86,0.00,3600.00,4500.00,5400.00,900.00,9.6121e-1,1.0133e+5,2.5745e+6,2.3615e+10,
p3,realistic-engaged,thr-hoarder,threshold,1,engagement-profile,169749.23,13500.00,5,N,,,1515108019.93,0.00,781.00,39510.51,105787.01,168851.23,0.00,3600.00,5400.00,3600.00,900.00,9.6121e-1,3.6002e+5,8.2744e+6,3.0053e+10,
p3,realistic-engaged,thr-hoarder,threshold,2,engagement-profile,213444.65,13500.00,5,N,,,1496342017.30,0.00,781.00,11365.89,101237.27,212546.65,0.00,3600.00,4500.00,4500.00,900.00,9.6121e-1,7.8128e+4,2.5931e+6,2.0001e+10,
p3,realistic-engaged,thr-hoarder,threshold,3,engagement-profile,300943.50,11700.00,5,N,,,8718492121.35,0.00,781.00,26213.78,125738.80,300045.50,0.00,3600.00,3600.00,3600.00,900.00,9.6121e-1,2.2684e+5,3.1091e+6,4.5608e+10,
p3,realistic-engaged,thr-hoarder,threshold,4,engagement-profile,288730.85,11700.00,5,N,,,129805689897.12,0.00,781.00,16876.31,154220.53,287832.85,0.00,3600.00,3600.00,3600.00,900.00,9.6121e-1,1.3332e+5,1.8186e+7,1.6553e+11,
p3,realistic-engaged,thr-hoarder,threshold,5,engagement-profile,225219.16,11700.00,5,N,,,369399618.92,0.00,781.00,22256.71,158052.10,224321.16,0.00,3600.00,2700.00,4500.00,900.00,9.6121e-1,1.8721e+5,6.9226e+6,3.1675e+10,
p3,realistic-engaged,thr-hoarder,threshold,6,engagement-profile,291030.57,9900.00,5,N,,,243148580.78,0.00,781.00,10197.24,152854.08,290132.57,0.00,3600.00,1800.00,3600.00,900.00,9.6121e-1,6.6430e+4,4.5437e+6,3.4610e+10,
p3,realistic-engaged,thr-hoarder,threshold,7,engagement-profile,220166.74,14400.00,5,N,,,53325315513.90,0.00,781.00,6786.07,99785.98,219268.74,0.00,3600.00,5400.00,4500.00,900.00,9.6121e-1,3.2267e+4,4.4805e+6,8.9177e+10,
p3,realistic-engaged,thr-hoarder,threshold,8,engagement-profile,390962.34,9900.00,5,N,,,219205380617.02,0.00,781.00,110421.72,177543.51,390064.34,0.00,3600.00,2700.00,2700.00,900.00,9.6121e-1,1.0702e+6,5.3314e+6,2.5473e+11,
p3,realistic-engaged,thr-hoarder,threshold,9,engagement-profile,282804.09,14400.00,5,N,,,67290902845.71,0.00,781.00,15599.78,96265.41,281906.09,0.00,3600.00,5400.00,4500.00,900.00,9.6121e-1,1.2053e+5,3.6246e+6,1.0375e+11,
p3,realistic-engaged,thr-hoarder,threshold,10,engagement-profile,192614.49,14400.00,5,N,,,8882046897.20,0.00,781.00,19238.09,129871.21,191716.49,0.00,3600.00,4500.00,5400.00,900.00,9.6121e-1,1.5698e+5,3.7573e+6,2.2900e+10,
p3,realistic-engaged,thr-hoarder,threshold,11,engagement-profile,204909.15,13500.00,5,N,,,312486311.44,0.00,781.00,7663.29,121377.87,204011.15,0.00,3600.00,4500.00,4500.00,900.00,9.6121e-1,4.1051e+4,5.4053e+6,2.5739e+10,
p3,realistic-engaged,thr-hoarder,threshold,12,engagement-profile,171320.75,15300.00,5,N,,,918715911.12,0.00,781.00,12799.95,79526.91,170422.75,0.00,3600.00,7200.00,3600.00,900.00,9.6121e-1,9.2490e+4,3.6488e+6,3.7743e+10,
p3,realistic-engaged,thr-hoarder,threshold,13,engagement-profile,203861.18,12600.00,5,N,,,362930321.14,0.00,781.00,16836.53,99446.85,202963.18,0.00,3600.00,5400.00,2700.00,900.00,9.6121e-1,1.3292e+5,8.4083e+6,2.5362e+10,
p3,realistic-engaged,thr-hoarder,threshold,14,engagement-profile,269579.63,13500.00,5,N,,,632249749.29,0.00,781.00,28831.80,167508.47,268681.63,0.00,3600.00,5400.00,3600.00,900.00,9.6121e-1,2.5306e+5,1.7530e+7,3.7513e+10,
p3,realistic-engaged,thr-hoarder,threshold,15,engagement-profile,208230.44,13500.00,5,N,,,977104439.23,0.00,781.00,70509.57,136687.38,207332.44,0.00,3600.00,5400.00,3600.00,900.00,9.6121e-1,6.7049e+5,2.0046e+7,2.2132e+10,
p3,realistic-engaged,thr-hoarder,threshold,16,engagement-profile,223893.88,14400.00,5,N,,,88924623412.53,0.00,781.00,6527.97,96652.46,222995.88,0.00,3600.00,6300.00,3600.00,900.00,9.6121e-1,2.9673e+4,3.4862e+6,1.2503e+11,
p3,realistic-engaged,thr-hoarder,threshold,17,engagement-profile,204047.54,14400.00,5,N,,,926708463.02,0.00,781.00,33594.44,124343.70,203149.54,0.00,3600.00,4500.00,5400.00,900.00,9.6121e-1,3.0076e+5,5.3799e+6,3.3881e+10,
p3,realistic-engaged,thr-hoarder,threshold,18,engagement-profile,206596.91,11700.00,5,N,,,5992978934.71,0.00,781.00,12820.27,131710.39,205698.91,0.00,3600.00,3600.00,3600.00,900.00,9.6121e-1,9.2701e+4,2.5453e+7,4.1771e+10,
p3,realistic-engaged,thr-hoarder,threshold,19,engagement-profile,245032.90,13500.00,5,N,,,355893774255.03,0.00,781.00,33522.24,114691.64,244134.90,0.00,3600.00,3600.00,5400.00,900.00,9.6121e-1,3.0004e+5,4.7346e+6,3.9202e+11,
