pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass
p1,realistic-engaged,comp-hoarder,completion,0,engagement-profile,142949.90,5400.00,4,N,,,74373580.35,0.00,700.00,13687.52,142058.90,0.00,3600.00,900.00,900.00,3.5044e-2,1.3421e+5,8.8128e+7,
p1,realistic-engaged,comp-hoarder,completion,1,engagement-profile,66070.15,5400.00,4,N,,,1064610.37,0.00,700.00,39515.51,65177.15,0.00,3600.00,900.00,900.00,3.5044e-2,4.9675e+5,1.0781e+7,
p1,realistic-engaged,comp-hoarder,completion,2,engagement-profile,45399.50,5400.00,4,N,,,118664046.78,0.00,700.00,11370.89,44508.50,0.00,3600.00,900.00,900.00,3.5044e-2,1.0168e+5,2.2638e+7,
