pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t5_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t5_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass,t5_exit_mass
p1,realistic-engaged,comp-hoarder,completion,0,engagement-profile,320880.13,15300.00,5,N,,,134437855672.58,0.00,700.00,13687.52,226779.80,320275.13,0.00,3600.00,7200.00,3600.00,900.00,1.0062e+0,1.4180e+5,2.2083e+7,1.8025e+11,
p1,realistic-engaged,comp-hoarder,completion,1,engagement-profile,158283.16,12600.00,5,N,,,67938231839.20,0.00,700.00,39515.51,101187.03,157389.16,0.00,3600.00,4500.00,3600.00,900.00,1.0062e+0,5.0434e+5,8.4564e+7,3.5099e+11,
p1,realistic-engaged,comp-hoarder,completion,2,engagement-profile,246540.53,14400.00,5,N,,,1230299743544.58,0.00,700.00,11370.89,147732.99,246115.53,0.00,3600.00,6300.00,3600.00,900.00,1.0062e+0,1.0928e+5,5.5025e+7,1.4437e+11,
p1,realistic-engaged,comp-hoarder,completion,3,engagement-profile,291941.10,10800.00,5,N,,,14962474044.96,0.00,700.00,26218.78,125744.80,291201.10,0.00,3600.00,3600.00,2700.00,900.00,1.0062e+0,3.1770e+5,5.7450e+7,1.5807e+11,
p1,realistic-engaged,comp-hoarder,completion,4,engagement-profile,376255.65,12600.00,5,N,,,15569268111.23,0.00,700.00,16881.31,178518.49,375359.65,0.00,3600.00,4500.00,3600.00,900.00,1.0062e+0,1.8664e+5,2.3863e+8,2.2698e+11,
p1,realistic-engaged,comp-hoarder,completion,5,engagement-profile,225219.16,11700.00,5,N,,,62133714710.63,0.00,700.00,22261.71,158058.10,224322.16,0.00,3600.00,2700.00,4500.00,900.00,1.0062e+0,2.6215e+5,1.6915e+8,5.1424e+11,
p1,realistic-engaged,comp-hoarder,completion,6,engagement-profile,267723.32,9000.00,5,N,,,10512378364941.62,0.00,700.00,10202.24,213900.44,267450.32,0.00,3600.00,2700.00,1800.00,900.00,1.0062e+0,9.2884e+4,1.6318e+9,1.7290e+11,
p1,realistic-engaged,comp-hoarder,completion,7,engagement-profile,195452.86,12600.00,5,N,,,20625542775.11,0.00,700.00,6791.07,99786.98,194560.86,0.00,3600.00,5400.00,2700.00,900.00,1.0062e+0,4.5005e+4,5.2750e+7,3.3885e+11,
p1,realistic-engaged,comp-hoarder,completion,8,engagement-profile,256622.52,8100.00,5,N,,,191062448586.37,0.00,700.00,110426.72,172412.97,255730.52,0.00,3600.00,1800.00,1800.00,900.00,1.0062e+0,1.4997e+6,2.2173e+7,2.3652e+11,
p1,realistic-engaged,comp-hoarder,completion,9,engagement-profile,299048.57,15300.00,5,N,,,54576148235.60,0.00,700.00,15604.78,148052.59,298150.57,0.00,3600.00,6300.00,4500.00,900.00,1.0062e+0,1.6871e+5,2.3853e+9,8.4319e+10,
p1,realistic-engaged,comp-hoarder,completion,10,engagement-profile,204895.65,15300.00,5,N,,,134341224099.39,0.00,700.00,19243.09,129873.21,204523.65,0.00,3600.00,4500.00,6300.00,900.00,1.0062e+0,2.1979e+5,4.2992e+7,1.4886e+11,
p1,realistic-engaged,comp-hoarder,completion,11,engagement-profile,204909.15,13500.00,5,N,,,18618531361.92,0.00,700.00,7668.29,121379.87,204017.15,0.00,3600.00,4500.00,4500.00,900.00,1.0062e+0,5.7315e+4,5.4691e+7,5.6440e+11,
p1,realistic-engaged,comp-hoarder,completion,12,engagement-profile,171320.75,15300.00,5,N,,,20470201384.17,0.00,700.00,12804.95,71156.29,170425.75,0.00,3600.00,6300.00,4500.00,900.00,1.0062e+0,1.2941e+5,2.5700e+7,2.4690e+11,
p1,realistic-engaged,comp-hoarder,completion,13,engagement-profile,258149.23,14400.00,5,N,,,10712334011.97,0.00,700.00,16841.53,145478.95,257253.23,0.00,3600.00,6300.00,3600.00,900.00,1.0062e+0,1.8607e+5,3.5298e+7,2.6752e+11,
p1,realistic-engaged,comp-hoarder,completion,14,engagement-profile,241339.90,12600.00,5,N,,,31108030362.53,0.00,700.00,28836.80,87056.80,240444.90,0.00,3600.00,4500.00,3600.00,900.00,1.0062e+0,3.5444e+5,6.6656e+7,2.3200e+11,
p1,realistic-engaged,comp-hoarder,completion,15,engagement-profile,199587.40,12600.00,5,N,,,2507576308850.54,0.00,700.00,70514.57,123610.28,199187.40,0.00,3600.00,4500.00,3600.00,900.00,1.0062e+0,9.3947e+5,1.3283e+8,1.5233e+11,
p1,realistic-engaged,comp-hoarder,completion,16,engagement-profile,152923.16,12600.00,5,N,,,402660410112.67,0.00,700.00,6532.97,96652.46,152031.16,0.00,3600.00,6300.00,1800.00,900.00,1.0062e+0,4.1369e+4,9.2498e+8,2.6528e+11,
p1,realistic-engaged,comp-hoarder,completion,17,engagement-profile,204047.54,14400.00,5,N,,,41874716871.56,0.00,700.00,33599.44,117111.77,203150.54,0.00,3600.00,3600.00,6300.00,900.00,1.0062e+0,4.2130e+5,6.3231e+7,5.7799e+10,
p1,realistic-engaged,comp-hoarder,completion,18,engagement-profile,206596.91,11700.00,5,N,,,46695067170.57,0.00,700.00,12825.27,131711.39,205702.91,0.00,3600.00,3600.00,3600.00,900.00,1.0062e+0,1.2970e+5,4.1551e+8,2.2018e+11,
p1,realistic-engaged,comp-hoarder,completion,19,engagement-profile,245032.90,13500.00,5,N,,,18777159505.61,0.00,700.00,33527.24,125480.20,244138.90,0.00,3600.00,4500.00,4500.00,900.00,1.0062e+0,4.2029e+5,3.7677e+7,4.3996e+11,
