pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t5_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t5_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass,t5_exit_mass
p1,realistic-engaged,comp-hoarder,completion,0,engagement-profile,227677.80,11700.00,4,N,,,54877355.99,0.00,700.00,13687.52,226779.80,,0.00,3600.00,7200.00,900.00,,3.5044e-2,1.3421e+5,1.4084e+7,,
p1,realistic-engaged,comp-hoarder,completion,1,engagement-profile,102084.03,9000.00,4,N,,,174970537.44,0.00,700.00,39515.51,101187.03,,0.00,3600.00,4500.00,900.00,,3.5044e-2,4.9675e+5,7.4074e+7,,
p1,realistic-engaged,comp-hoarder,completion,2,engagement-profile,148630.99,10800.00,4,N,,,4137958.42,0.00,700.00,11370.89,147732.99,,0.00,3600.00,6300.00,900.00,,3.5044e-2,1.0168e+5,4.7967e+7,,
p1,realistic-engaged,comp-hoarder,completion,3,engagement-profile,126636.80,8100.00,4,N,,,35006049.08,0.00,700.00,26218.78,125744.80,,0.00,3600.00,3600.00,900.00,,3.5044e-2,3.1010e+5,3.3550e+7,,
p1,realistic-engaged,comp-hoarder,completion,4,engagement-profile,179416.49,9000.00,5,N,,,21263155642.18,0.00,700.00,16881.31,178518.49,179077.49,0.00,3600.00,4500.00,,900.00,3.5044e-2,1.7904e+5,2.3158e+8,3.3068e+6,
p1,realistic-engaged,comp-hoarder,completion,5,engagement-profile,158950.10,7200.00,5,N,,,21094329750.24,0.00,700.00,22261.71,158058.10,158670.10,0.00,3600.00,2700.00,,900.00,3.5044e-2,2.5456e+5,1.4526e+8,2.5001e+6,
p1,realistic-engaged,comp-hoarder,completion,6,engagement-profile,214797.44,7200.00,5,N,,,48745068473.28,0.00,700.00,10202.24,213900.44,213916.44,0.00,3600.00,2700.00,,900.00,3.5044e-2,8.5288e+4,1.6213e+9,1.1048e+9,
p1,realistic-engaged,comp-hoarder,completion,7,engagement-profile,100683.98,9900.00,4,N,,,56770964.45,0.00,700.00,6791.07,99786.98,,0.00,3600.00,5400.00,900.00,,3.5044e-2,3.7409e+4,3.7706e+7,,
p1,realistic-engaged,comp-hoarder,completion,8,engagement-profile,172545.97,6300.00,4,N,,,27553203.06,0.00,700.00,110426.72,172412.97,,0.00,3600.00,1800.00,900.00,,3.5044e-2,1.4921e+6,4.9556e+5,,
p1,realistic-engaged,comp-hoarder,completion,9,engagement-profile,148949.59,10800.00,5,N,,,9844753184.60,0.00,700.00,15604.78,148052.59,148068.59,0.00,3600.00,6300.00,,900.00,3.5044e-2,1.6111e+5,2.3748e+9,1.8595e+9,
