pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t5_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t5_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass,t5_exit_mass
p3,realistic-engaged,thr-hoarder,threshold,0,engagement-profile,320880.13,15300.00,5,N,,,417208664998.88,0.00,781.00,13682.52,187987.96,319982.13,0.00,3600.00,4500.00,6300.00,900.00,9.6121e-1,1.0133e+5,2.5745e+6,4.6394e+11,
p3,realistic-engaged,thr-hoarder,threshold,1,engagement-profile,169749.23,13500.00,5,N,,,1300726690.36,0.00,781.00,39510.51,105787.01,168851.23,0.00,3600.00,5400.00,3600.00,900.00,9.6121e-1,3.6002e+5,8.2744e+6,3.0053e+10,
p3,realistic-engaged,thr-hoarder,threshold,2,engagement-profile,246540.53,14400.00,5,N,,,153708055613.08,0.00,781.00,11365.89,101237.27,245642.53,0.00,3600.00,4500.00,5400.00,900.00,9.6121e-1,7.8128e+4,2.5931e+6,2.0051e+11,
p3,realistic-engaged,thr-hoarder,threshold,3,engagement-profile,300943.50,11700.00,5,N,,,342449888.99,0.00,781.00,26213.78,125738.80,300045.50,0.00,3600.00,3600.00,3600.00,900.00,9.6121e-1,2.2684e+5,3.1091e+6,4.5608e+10,
p3,realistic-engaged,thr-hoarder,threshold,4,engagement-profile,288730.85,11700.00,5,N,,,119805689897.12,0.00,781.00,16876.31,154220.53,287832.85,0.00,3600.00,3600.00,3600.00,900.00,9.6121e-1,1.3332e+5,1.8186e+7,1.6553e+11,
p3,realistic-engaged,thr-hoarder,threshold,5,engagement-profile,225219.16,11700.00,5,N,,,432804958.87,0.00,781.00,22256.71,158052.10,224321.16,0.00,3600.00,2700.00,4500.00,900.00,9.6121e-1,1.8721e+5,6.9226e+6,3.1675e+10,
p3,realistic-engaged,thr-hoarder,threshold,6,engagement-profile,291030.57,9900.00,5,N,,,9378473064.23,0.00,781.00,10197.24,152854.08,290132.57,0.00,3600.00,1800.00,3600.00,900.00,9.6121e-1,6.6430e+4,4.5437e+6,3.4610e+10,
p3,realistic-engaged,thr-hoarder,threshold,7,engagement-profile,220166.74,14400.00,5,N,,,43325315513.90,0.00,781.00,6786.07,99785.98,219268.74,0.00,3600.00,5400.00,4500.00,900.00,9.6121e-1,3.2267e+4,4.4805e+6,8.9177e+10,
p3,realistic-engaged,thr-hoarder,threshold,8,engagement-profile,390962.34,9900.00,5,N,,,209205380617.02,0.00,781.00,110421.72,177543.51,390064.34,0.00,3600.00,2700.00,2700.00,900.00,9.6121e-1,1.0702e+6,5.3314e+6,2.5473e+11,
p3,realistic-engaged,thr-hoarder,threshold,9,engagement-profile,282804.09,14400.00,5,N,,,57290902845.71,0.00,781.00,15599.78,96265.41,281906.09,0.00,3600.00,5400.00,4500.00,900.00,9.6121e-1,1.2053e+5,3.6246e+6,1.0375e+11,
