pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t5_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t5_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass,t5_exit_mass
p2,realistic-engaged,comp-rusher,completion,0,engagement-profile,826513.02,24300.00,5,N,,,11416251724.34,0.00,587.00,13684.52,570565.62,825620.02,0.00,3600.00,16200.00,3600.00,900.00,1.0002e+0,1.4778e+5,1.3480e+7,6.6841e+11,
p2,realistic-engaged,comp-rusher,completion,1,engagement-profile,182075.37,14400.00,5,N,,,60301408479.14,0.00,587.00,39512.51,115122.22,181182.37,0.00,3600.00,6300.00,3600.00,900.00,1.0002e+0,5.2494e+5,1.2381e+8,1.0346e+11,
p2,realistic-engaged,comp-rusher,completion,2,engagement-profile,258337.87,15300.00,5,N,,,26743716017.82,0.00,587.00,11367.89,191899.72,257835.87,0.00,3600.00,7200.00,3600.00,900.00,1.0002e+0,1.1394e+5,7.4277e+7,3.4013e+10,
p2,realistic-engaged,comp-rusher,completion,3,engagement-profile,372728.91,14400.00,5,N,,,16748730861.21,0.00,587.00,26215.78,240987.67,371835.91,0.00,3600.00,5400.00,4500.00,900.00,1.0002e+0,3.3077e+5,3.9269e+7,3.8516e+11,
p2,realistic-engaged,comp-rusher,completion,4,engagement-profile,288730.85,11700.00,5,N,,,15866335087.65,0.00,587.00,16878.31,178519.49,287837.85,0.00,3600.00,4500.00,2700.00,900.00,1.0002e+0,1.9442e+5,1.4329e+8,2.3028e+11,
p2,realistic-engaged,comp-rusher,completion,5,engagement-profile,246280.81,12600.00,5,N,,,13529360774.74,0.00,587.00,22258.71,169601.90,245387.81,0.00,3600.00,3600.00,4500.00,900.00,1.0002e+0,2.7298e+5,2.0709e+7,1.3742e+11,
p2,realistic-engaged,comp-rusher,completion,6,engagement-profile,291030.57,9900.00,5,N,,,11759538515.12,0.00,587.00,10199.24,213901.44,290138.57,0.00,3600.00,2700.00,2700.00,900.00,1.0002e+0,9.6883e+4,1.8195e+8,6.8195e+10,
p2,realistic-engaged,comp-rusher,completion,7,engagement-profile,195452.86,12600.00,5,N,,,33398236124.57,0.00,587.00,6788.07,99787.98,195302.86,0.00,3600.00,5400.00,2700.00,900.00,1.0002e+0,4.7072e+4,2.5130e+7,5.2341e+10,
p2,realistic-engaged,comp-rusher,completion,8,engagement-profile,390962.34,9900.00,5,N,,,13149984628.17,0.00,587.00,110423.72,177544.51,390069.34,0.00,3600.00,2700.00,2700.00,900.00,1.0002e+0,1.5605e+6,1.5585e+7,5.7237e+11,
p2,realistic-engaged,comp-rusher,completion,9,engagement-profile,265173.78,13500.00,5,N,,,22354889302.00,0.00,587.00,15601.78,148053.59,264751.78,0.00,3600.00,6300.00,2700.00,900.00,1.0002e+0,1.7577e+5,5.4323e+7,5.0193e+10,
