pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t5_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t5_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass,t5_exit_mass
p2,realistic-engaged,comp-rusher,completion,0,engagement-profile,826513.02,24300.00,5,N,,,57742722856.52,0.00,587.00,13684.52,570565.62,825618.02,0.00,3600.00,16200.00,3600.00,900.00,1.0002e+0,1.4778e+5,1.3480e+7,1.8405e+11,
p2,realistic-engaged,comp-rusher,completion,1,engagement-profile,225387.00,16200.00,5,N,,,17905888909896.57,0.00,587.00,39512.51,115122.22,224489.00,0.00,3600.00,6300.00,5400.00,900.00,1.0002e+0,5.2494e+5,1.2381e+8,9.8525e+12,
p2,realistic-engaged,comp-rusher,completion,2,engagement-profile,402681.89,18000.00,5,N,,,14980316314.82,0.00,587.00,11367.89,191899.72,401786.89,0.00,3600.00,7200.00,6300.00,900.00,1.0002e+0,1.1394e+5,7.4277e+7,3.8047e+11,
p2,realistic-engaged,comp-rusher,completion,3,engagement-profile,372728.91,14400.00,5,N,,,12228160515.64,0.00,587.00,26215.78,240987.67,371836.91,0.00,3600.00,5400.00,4500.00,900.00,1.0002e+0,3.3077e+5,3.9269e+7,4.4731e+11,
p2,realistic-engaged,comp-rusher,completion,4,engagement-profile,288730.85,11700.00,5,N,,,27188131670.38,0.00,587.00,16878.31,178519.49,287835.85,0.00,3600.00,4500.00,2700.00,900.00,1.0002e+0,1.9442e+5,1.4329e+8,2.0783e+11,
p2,realistic-engaged,comp-rusher,completion,5,engagement-profile,296774.41,16200.00,5,N,,,15800792920.07,0.00,587.00,22258.71,169601.90,295876.41,0.00,3600.00,3600.00,8100.00,900.00,1.0002e+0,2.7298e+5,2.0709e+7,4.3285e+11,
p2,realistic-engaged,comp-rusher,completion,6,engagement-profile,314586.66,10800.00,5,N,,,220991363972.19,0.00,587.00,10199.24,213901.44,314148.66,0.00,3600.00,2700.00,3600.00,900.00,1.0002e+0,9.6883e+4,1.8195e+8,1.1769e+11,
p2,realistic-engaged,comp-rusher,completion,7,engagement-profile,415067.80,18900.00,5,N,,,11842745573.32,0.00,587.00,6788.07,99787.98,414170.80,0.00,3600.00,5400.00,9000.00,900.00,1.0002e+0,4.7072e+4,2.5130e+7,5.4306e+11,
p2,realistic-engaged,comp-rusher,completion,8,engagement-profile,390962.34,9900.00,5,N,,,16786434379.34,0.00,587.00,110423.72,177544.51,390066.34,0.00,3600.00,2700.00,2700.00,900.00,1.0002e+0,1.5605e+6,1.5585e+7,1.6553e+11,
p2,realistic-engaged,comp-rusher,completion,9,engagement-profile,320670.52,16200.00,5,N,,,6246183925670.25,0.00,587.00,15601.78,148053.59,319772.52,0.00,3600.00,6300.00,5400.00,900.00,1.0002e+0,1.7577e+5,5.4323e+7,7.1306e+12,
