pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t5_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t5_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass,t5_exit_mass
p1,realistic-engaged,comp-hoarder,completion,0,engagement-profile,347900.93,16200.00,5,N,,,21731503761.45,0.00,700.00,13687.52,226779.80,347003.93,0.00,3600.00,7200.00,4500.00,900.00,1.0062e+0,1.4180e+5,2.2083e+7,7.5775e+11,
p1,realistic-engaged,comp-hoarder,completion,1,engagement-profile,158283.16,12600.00,5,N,,,9503084899640.76,0.00,700.00,39515.51,101187.03,157944.16,0.00,3600.00,4500.00,3600.00,900.00,1.0062e+0,5.0434e+5,8.4564e+7,1.6547e+11,
p1,realistic-engaged,comp-hoarder,completion,2,engagement-profile,290554.49,16200.00,5,N,,,19412135437.33,0.00,700.00,11370.89,147732.99,289659.49,0.00,3600.00,6300.00,5400.00,900.00,1.0062e+0,1.0928e+5,5.5025e+7,1.8180e+11,
p1,realistic-engaged,comp-hoarder,completion,3,engagement-profile,300943.50,11700.00,5,N,,,7087027753005.33,0.00,700.00,26218.78,125744.80,300045.50,0.00,3600.00,3600.00,3600.00,900.00,1.0062e+0,3.1770e+5,5.7450e+7,6.7657e+12,
p1,realistic-engaged,comp-hoarder,completion,4,engagement-profile,378078.54,13500.00,5,N,,,1948141171433.42,0.00,700.00,16881.31,178518.49,377291.54,0.00,3600.00,4500.00,4500.00,900.00,1.0062e+0,1.8664e+5,2.3863e+8,8.8311e+10,
p1,realistic-engaged,comp-hoarder,completion,5,engagement-profile,225219.16,11700.00,5,N,,,7277165001738.97,0.00,700.00,22261.71,158058.10,224321.16,0.00,3600.00,2700.00,4500.00,900.00,1.0062e+0,2.6215e+5,1.6915e+8,4.9886e+12,
p1,realistic-engaged,comp-hoarder,completion,6,engagement-profile,291030.57,9900.00,5,N,,,227419343208.45,0.00,700.00,10202.24,213900.44,290133.57,0.00,3600.00,2700.00,2700.00,900.00,1.0062e+0,9.2884e+4,1.6318e+9,5.8492e+11,
p1,realistic-engaged,comp-hoarder,completion,7,engagement-profile,195452.86,12600.00,5,N,,,24315834183.78,0.00,700.00,6791.07,99786.98,194560.86,0.00,3600.00,5400.00,2700.00,900.00,1.0062e+0,4.5005e+4,5.2750e+7,3.3885e+11,
p1,realistic-engaged,comp-hoarder,completion,8,engagement-profile,314966.10,9000.00,5,N,,,18064561943902.80,0.00,700.00,110426.72,172412.97,314068.10,0.00,3600.00,1800.00,2700.00,900.00,1.0062e+0,1.4997e+6,2.2173e+7,2.4131e+12,
p1,realistic-engaged,comp-hoarder,completion,9,engagement-profile,241958.46,12600.00,5,N,,,19154765109149.56,0.00,700.00,15604.78,148052.59,241194.46,0.00,3600.00,6300.00,1800.00,900.00,1.0062e+0,1.6871e+5,2.3853e+9,2.0044e+11,
p1,realistic-engaged,comp-hoarder,completion,10,engagement-profile,204895.65,15300.00,5,N,,,3050380149795.45,0.00,700.00,19243.09,129873.21,203998.65,0.00,3600.00,4500.00,6300.00,900.00,1.0062e+0,2.1979e+5,4.2992e+7,4.0135e+12,
p1,realistic-engaged,comp-hoarder,completion,11,engagement-profile,204909.15,13500.00,5,N,,,18418465866.38,0.00,700.00,7668.29,121379.87,204017.15,0.00,3600.00,4500.00,4500.00,900.00,1.0062e+0,5.7315e+4,5.4691e+7,5.6440e+11,
p1,realistic-engaged,comp-hoarder,completion,12,engagement-profile,171320.75,15300.00,5,N,,,868813947712.96,0.00,700.00,12804.95,71156.29,171224.75,0.00,3600.00,6300.00,4500.00,900.00,1.0062e+0,1.2941e+5,2.5700e+7,2.5069e+11,
p1,realistic-engaged,comp-hoarder,completion,13,engagement-profile,291796.91,16200.00,5,N,,,18652525381.95,0.00,700.00,16841.53,145478.95,290900.91,0.00,3600.00,6300.00,5400.00,900.00,1.0062e+0,1.8607e+5,3.5298e+7,1.7407e+11,
p1,realistic-engaged,comp-hoarder,completion,14,engagement-profile,241339.90,12600.00,5,N,,,30557839904.65,0.00,700.00,28836.80,87056.80,240445.90,0.00,3600.00,4500.00,3600.00,900.00,1.0062e+0,3.5444e+5,6.6656e+7,7.6190e+11,
p1,realistic-engaged,comp-hoarder,completion,15,engagement-profile,208230.44,13500.00,5,N,,,54285804167.28,0.00,700.00,70514.57,123610.28,207333.44,0.00,3600.00,4500.00,4500.00,900.00,1.0062e+0,9.3947e+5,1.3283e+8,2.2483e+11,
p1,realistic-engaged,comp-hoarder,completion,16,engagement-profile,152923.16,12600.00,5,N,,,144171793654718.75,0.00,700.00,6532.97,96652.46,152762.16,0.00,3600.00,6300.00,1800.00,900.00,1.0062e+0,4.1369e+4,9.2498e+8,2.6528e+11,
p1,realistic-engaged,comp-hoarder,completion,17,engagement-profile,196564.35,13500.00,5,N,,,17022506059185.95,0.00,700.00,33599.44,117111.77,195666.35,0.00,3600.00,3600.00,5400.00,900.00,1.0062e+0,4.2130e+5,6.3231e+7,1.4872e+12,
p1,realistic-engaged,comp-hoarder,completion,18,engagement-profile,217908.87,12600.00,5,N,,,704123936061.35,0.00,700.00,12825.27,131711.39,217010.87,0.00,3600.00,3600.00,4500.00,900.00,1.0062e+0,1.2970e+5,4.1551e+8,6.3946e+11,
p1,realistic-engaged,comp-hoarder,completion,19,engagement-profile,245032.90,13500.00,5,N,,,25792846132.26,0.00,700.00,33527.24,125480.20,244139.90,0.00,3600.00,4500.00,4500.00,900.00,1.0062e+0,4.2029e+5,3.7677e+7,4.4004e+11,
